"seller_state","customer_state","total_freight_value_2017","total_freight_value_2018","avg_seller_processing_time_2017","avg_seller_processing_time_2018","avg_carrier_processing_time_2017","avg_carrier_processing_time_2018","delay_value_pct_per_state_2017","delay_value_pct_per_state_2018","avg_review_2017","avg_review_2018","total_orders_2017","total_orders_2018"
RJ,RS,691.0801,2773.411,"1 day 30:48:03.264706","1 day 26:28:43.94958","8 days 31:24:50.294118","13 days 10:53:27.805084",0.0,7.253522425889969,4.4285714285714286,4.1065573770491803,35,122
SC,RS,1661.9803,3359.47,"2 days 12:14:28.839506","2 days 14:11:55.258742","6 days 29:28:14.975","10 days 18:59:31.650349",1.8423805013298988,7.166904956102371,3.9545454545454545,4.2083333333333333,88,144
SP,PR,14528.395,37294.96,"2 days 25:39:35.302899","2 days 18:56:28.844156","8 days 15:32:10.347445","9 days 19:16:19.716647",1.9428160041570663,6.892783939838409,4.1355206847360913,4.0208216094541362,701,1777
MA,RJ,,1045.2301,,"2 days 27:20:06.861111",,"14 days 09:21:09.055556",,6.590893119573593,,4.3611111111111111,0,36
ES,BA,34.44,579.7601,"3 days 07:14:13","1 day 14:40:40.733333","8 days 00:01:51","10 days 27:05:19.866667",0.0,6.590656936168671,5.0000000000000000,3.5333333333333333,2,15
MG,SC,1945.1105,3405.9307,"2 days 23:55:54.561798","2 days 26:26:27.608247","13 days 27:00:51.356322","12 days 19:01:39.27835",3.57666052877903,6.370946764945984,4.0786516853932584,3.9793814432989691,89,97
MG,RS,2334.0398,4037.8103,"2 days 20:59:44.686047","2 days 28:09:53.333333","11 days 27:22:04.835294","14 days 19:02:13.018691",1.1670752428472042,6.280632317066193,4.3255813953488372,4.1666666666666667,86,108
RS,PE,187.3,514.38995,"15:43:20.25","3 days 14:16:59.625","27 days 15:24:07","13 days 13:36:19.375",28.99092137813568,6.1470877379179,3.5000000000000000,4.5000000000000000,4,8
MG,SP,13446.674,27817.89,"2 days 25:42:37.153846","2 days 13:52:04.429655","7 days 27:22:51.377254","7 days 15:42:38.105442",7.37713947892189,6.070733442902565,4.1541609822646658,4.1045643153526971,733,1205
PR,DF,487.05997,3034.81,"1 day 17:43:13.272728","2 days 28:50:05.168317","8 days 30:39:20.636363","9 days 24:34:31.070707",0.0,6.04420006275177,3.9545454545454545,3.9108910891089109,22,101
